NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-09-28;2020-10-04;No;260.92;1.28541;112.3788;8548;1788.9371;136074;6.1934;557;94;54
CATALUNYA;CATALUNYA;2020-09-27;2020-10-03;No;253.574;1.25719;110.1570;8379;1782.0219;135548;6.1027;547;95;59
CATALUNYA;CATALUNYA;2020-09-27;2020-10-03;--;;;0.0000;176;0.0000;1914;5.1852;47;8;0
CATALUNYA;CATALUNYA;2020-09-27;2020-10-03;Si;;;452.2812;296;6947.7126;4547;7.7846;41;1;34
CATALUNYA;CATALUNYA;2020-09-26;2020-10-02;Si;;;456.8652;299;7054.6710;4617;7.6788;44;1;33
CATALUNYA;CATALUNYA;2020-09-26;2020-10-02;No;237.385;1.18902;108.6056;8261;1773.2135;134878;6.0300;550;97;58
CATALUNYA;CATALUNYA;2020-09-26;2020-10-02;--;;;0.0000;166;0.0000;1788;5.2184;43;8;0
CATALUNYA;CATALUNYA;2020-09-25;2020-10-01;--;;;0.0000;164;0.0000;1725;5.3561;37;7;0
CATALUNYA;CATALUNYA;2020-09-25;2020-10-01;Si;;;311.7073;204;5927.0238;3879;6.1819;42;1;31
CATALUNYA;CATALUNYA;2020-09-25;2020-10-01;No;214.385;1.0993;102.8079;7820;1727.6599;131413;5.8575;531;96;61
CATALUNYA;CATALUNYA;2020-09-24;2020-09-30;No;196.88;1.02572;94.7752;7209;1635.5140;124404;5.6486;507;86;63
CATALUNYA;CATALUNYA;2020-09-24;2020-09-30;--;;;0.0000;144;0.0000;1566;4.7341;39;6;0
CATALUNYA;CATALUNYA;2020-09-24;2020-09-30;Si;;;330.0430;216;6261.6508;4098;5.8263;37;0;33
CATALUNYA;CATALUNYA;2020-09-23;2020-09-29;No;189.133;0.988338;93.1976;7089;1610.4956;122501;5.6335;485;82;57
CATALUNYA;CATALUNYA;2020-09-23;2020-09-29;--;;;0.0000;124;0.0000;1413;4.6796;36;3;0
CATALUNYA;CATALUNYA;2020-09-23;2020-09-29;Si;;;276.5638;181;6324.2978;4139;4.8173;45;0;31
CATALUNYA;CATALUNYA;2020-09-22;2020-09-28;--;;;0.0000;118;0.0000;1381;4.7829;34;6;0
CATALUNYA;CATALUNYA;2020-09-22;2020-09-28;Si;;;175.7173;115;6205.1156;4061;2.7390;50;1;25
CATALUNYA;CATALUNYA;2020-09-22;2020-09-28;No;184.045;0.961421;91.0810;6928;1576.1956;119892;5.6756;475;88;49
CATALUNYA;CATALUNYA;2020-09-21;2020-09-27;No;181.393;0.958891;90.6077;6892;1553.7015;118181;5.7707;463;82;51
CATALUNYA;CATALUNYA;2020-09-21;2020-09-27;--;;;0.0000;115;0.0000;1336;4.5593;28;4;0
CATALUNYA;CATALUNYA;2020-09-21;2020-09-27;Si;;;169.6054;111;5736.0266;3754;2.8964;51;1;26
CATALUNYA;CATALUNYA;2020-09-20;2020-09-26;No;182.761;0.965585;91.5411;6963;1563.1803;118902;5.7997;479;87;45
CATALUNYA;CATALUNYA;2020-09-20;2020-09-26;--;;;0.0000;105;0.0000;1320;4.1538;30;6;0
CATALUNYA;CATALUNYA;2020-09-20;2020-09-26;Si;;;178.7733;117;5726.8587;3748;3.2162;51;1;21
CATALUNYA;CATALUNYA;2020-09-19;2020-09-25;--;;;0.0000;104;0.0000;1320;4.1507;34;6;0
CATALUNYA;CATALUNYA;2020-09-19;2020-09-25;Si;;;198.6370;130;5784.9219;3786;3.3608;46;1;25
CATALUNYA;CATALUNYA;2020-09-19;2020-09-25;No;189.791;1.00002;91.0415;6925;1574.4734;119761;5.7507;472;84;48
CATALUNYA;CATALUNYA;2020-09-18;2020-09-24;--;;;0.0000;105;0.0000;1246;4.5603;37;5;0
CATALUNYA;CATALUNYA;2020-09-18;2020-09-24;Si;;;227.6686;149;5899.5202;3861;4.0419;41;1;23
CATALUNYA;CATALUNYA;2020-09-18;2020-09-24;No;208.805;1.15468;92.2116;7014;1552.8995;118120;5.9681;484;79;46
CATALUNYA;CATALUNYA;2020-09-17;2020-09-23;No;229.896;1.23827;97.1679;7391;1592.5634;121137;6.1323;492;83;49
CATALUNYA;CATALUNYA;2020-09-17;2020-09-23;--;;;0.0000;113;0.0000;1249;5.2932;36;6;0
CATALUNYA;CATALUNYA;2020-09-17;2020-09-23;Si;;;220.0287;144;5780.3379;3783;4.3582;38;1;17
CATALUNYA;CATALUNYA;2020-09-16;2020-09-22;--;;;0.0000;118;0.0000;1141;6.2333;37;6;0
CATALUNYA;CATALUNYA;2020-09-16;2020-09-22;Si;;;284.2037;186;5758.9463;3769;5.6254;35;2;15
CATALUNYA;CATALUNYA;2020-09-16;2020-09-22;No;237.984;1.29189;98.1671;7467;1511.7500;114990;6.5520;496;81;56
CATALUNYA;CATALUNYA;2020-09-15;2020-09-21;--;;;0.0000;118;0.0000;1081;6.2382;34;4;0
CATALUNYA;CATALUNYA;2020-09-15;2020-09-21;Si;;;276.5638;181;5473.2145;3582;6.4191;32;1;16
CATALUNYA;CATALUNYA;2020-09-15;2020-09-21;No;239.1;1.30485;100.3494;7633;1454.2065;110613;7.0025;511;70;61
CATALUNYA;CATALUNYA;2020-09-14;2020-09-20;No;237.056;1.31214;98.5615;7497;1393.9153;106027;7.1238;522;72;60
